Inicio: 24/11/2023 13:21:27,99 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: videos-pequenos.txt
24/11/2023 14:04:14,19 111480
24/11/2023 14:04:20,17 111601
24/11/2023 14:04:26,11 111774
24/11/2023 14:04:31,21 112191
24/11/2023 14:04:37,15 111262
24/11/2023 14:04:42,20 111634
24/11/2023 14:04:48,11 110822
24/11/2023 14:04:53,12 111696
24/11/2023 14:04:58,17 111111
24/11/2023 14:05:03,14 111916
24/11/2023 14:05:08,12 110867
24/11/2023 14:05:13,16 111902
24/11/2023 14:05:19,13 111866
24/11/2023 14:05:25,20 112515
24/11/2023 14:05:31,16 112761
24/11/2023 14:05:36,15 112145
24/11/2023 14:05:42,12 112797
24/11/2023 14:05:47,13 112084
24/11/2023 14:05:52,19 112707
24/11/2023 14:05:58,18 112547
24/11/2023 14:06:04,14 113008
24/11/2023 14:06:09,17 111845
24/11/2023 14:06:14,17 112997
24/11/2023 14:06:20,20 112827
24/11/2023 14:06:26,17 112519
24/11/2023 14:06:32,14 112620
24/11/2023 14:06:37,21 111892
24/11/2023 14:06:43,11 112570
24/11/2023 14:06:49,17 111979
24/11/2023 14:06:54,12 112994
24/11/2023 14:07:00,21 112906
24/11/2023 14:07:06,18 112512
24/11/2023 14:07:12,22 109563
24/11/2023 14:07:18,20 109135
24/11/2023 14:07:24,16 112926
24/11/2023 14:07:30,15 103047
24/11/2023 14:07:36,17 112563
24/11/2023 14:07:42,21 112656
24/11/2023 14:07:48,20 112264
24/11/2023 14:07:54,18 106754
24/11/2023 14:08:00,23 106286
24/11/2023 14:08:06,14 112957
24/11/2023 14:08:12,20 112589
24/11/2023 14:08:18,30 112249
24/11/2023 14:08:24,15 109988
24/11/2023 14:08:30,15 109587
24/11/2023 14:08:36,37 113284
24/11/2023 14:08:42,11 106602
24/11/2023 14:08:48,19 106458
24/11/2023 14:08:54,21 113052
24/11/2023 14:09:00,19 112800
24/11/2023 14:09:06,11 113302
24/11/2023 14:09:12,13 109638
24/11/2023 14:09:17,17 109590
24/11/2023 14:09:23,20 112855
24/11/2023 14:09:29,12 112931
24/11/2023 14:09:34,21 111061
24/11/2023 14:09:40,19 108999
24/11/2023 14:09:46,11 109851
24/11/2023 14:09:51,12 108673
24/11/2023 14:09:56,14 109768
24/11/2023 14:10:01,20 109117
24/11/2023 14:10:06,22 100586
24/11/2023 14:10:12,15 109275
24/11/2023 14:10:17,19 109394
24/11/2023 14:10:23,21 109388
24/11/2023 14:10:29,16 109564
24/11/2023 14:10:35,14 109206
24/11/2023 14:10:41,20 108206
24/11/2023 14:10:47,21 109166
24/11/2023 14:10:53,14 108588
24/11/2023 14:10:58,17 108568
24/11/2023 14:11:04,13 108862
24/11/2023 14:11:10,12 108277
24/11/2023 14:11:16,12 108840
24/11/2023 14:11:21,19 107984
24/11/2023 14:11:27,19 109011
24/11/2023 14:11:33,21 108925
24/11/2023 14:11:39,13 108489
24/11/2023 14:11:44,13 108337
24/11/2023 14:11:50,17 108153
24/11/2023 14:11:55,18 108463
24/11/2023 14:12:01,16 108467
24/11/2023 14:12:06,17 108589
24/11/2023 14:12:12,11 107842
24/11/2023 14:12:17,12 108698
24/11/2023 14:12:22,18 107718
24/11/2023 14:12:27,12 108364
24/11/2023 14:12:32,11 107864
24/11/2023 14:12:37,15 106855
24/11/2023 14:12:43,19 105530
24/11/2023 14:12:49,21 106305
24/11/2023 14:12:55,14 105808
24/11/2023 14:13:00,19 105767
24/11/2023 14:13:06,15 106064
24/11/2023 14:13:12,16 105223
24/11/2023 14:13:17,17 106011
24/11/2023 14:13:23,11 105184
24/11/2023 14:13:28,16 106005
24/11/2023 14:13:33,21 105389
24/11/2023 14:13:39,21 106087
24/11/2023 14:13:45,18 102695
24/11/2023 14:13:51,13 102523
24/11/2023 14:13:57,14 102948
24/11/2023 14:14:03,18 102724
24/11/2023 14:14:08,13 106159
24/11/2023 14:14:14,13 69752
24/11/2023 14:14:20,21 105992
24/11/2023 14:14:26,18 105810
24/11/2023 14:14:32,14 105870
24/11/2023 14:14:37,16 105970
24/11/2023 14:14:43,26 105318
24/11/2023 14:14:49,15 106081
24/11/2023 14:14:54,13 104985
24/11/2023 14:14:59,13 106153
24/11/2023 14:15:04,18 105556
24/11/2023 14:15:09,14 106150
24/11/2023 14:15:14,11 105114
24/11/2023 14:15:19,18 106126
24/11/2023 14:15:24,20 105122
24/11/2023 14:15:30,21 106076
24/11/2023 14:15:36,19 105799
24/11/2023 14:15:42,22 105498
24/11/2023 14:15:48,12 105870
24/11/2023 14:15:54,20 105226
24/11/2023 14:16:00,13 106144
24/11/2023 14:16:05,25 105390
24/11/2023 14:16:11,17 106047
24/11/2023 14:16:17,20 105688
24/11/2023 14:16:23,12 105392
24/11/2023 14:16:28,22 105814
24/11/2023 14:16:34,13 105702
24/11/2023 14:16:39,16 105932
24/11/2023 14:16:44,20 105136
24/11/2023 14:16:50,13 99912
24/11/2023 14:16:56,20 105576
24/11/2023 14:17:02,16 105810
24/11/2023 14:17:08,13 99713
24/11/2023 14:17:14,20 99052
24/11/2023 14:17:20,13 105602
24/11/2023 14:17:25,12 104642
24/11/2023 14:17:30,18 105539
24/11/2023 14:17:36,15 75715
24/11/2023 14:17:42,13 104877
24/11/2023 14:17:47,14 104739
24/11/2023 14:17:52,19 104743
24/11/2023 14:17:57,17 104786
24/11/2023 14:18:03,16 104909
24/11/2023 14:18:09,12 105172
24/11/2023 14:18:14,16 104437
24/11/2023 14:18:19,19 105012
24/11/2023 14:18:25,17 104480
24/11/2023 14:18:30,13 105154
24/11/2023 14:18:35,22 104838
24/11/2023 14:18:41,16 105299
24/11/2023 14:18:46,21 104223
24/11/2023 14:18:52,14 105379
24/11/2023 14:18:58,13 104841
24/11/2023 14:19:03,18 104889
24/11/2023 14:19:09,12 105211
24/11/2023 14:19:14,12 104579
24/11/2023 14:19:19,17 104950
24/11/2023 14:19:25,22 104581
24/11/2023 14:19:31,19 102163
24/11/2023 14:19:37,14 101659
24/11/2023 14:19:43,14 105246
24/11/2023 14:19:48,20 104781
24/11/2023 14:19:54,17 104769
24/11/2023 14:19:59,16 104894
24/11/2023 14:20:05,14 105004
24/11/2023 14:20:11,17 104981
24/11/2023 14:20:17,12 104089
24/11/2023 14:20:22,16 98909
24/11/2023 14:20:28,11 104593
24/11/2023 14:20:34,16 104749
24/11/2023 14:20:40,14 104882
24/11/2023 14:20:46,21 104266
24/11/2023 14:20:52,15 105166
24/11/2023 14:20:58,13 74907
24/11/2023 14:21:04,21 104994
24/11/2023 14:21:10,21 105205
24/11/2023 14:21:16,14 104597
24/11/2023 14:21:22,12 105197
24/11/2023 14:21:27,16 104187
24/11/2023 14:21:33,19 105336
24/11/2023 14:21:39,18 105200
24/11/2023 14:21:45,12 104760
24/11/2023 14:21:50,12 104884
24/11/2023 14:21:55,13 104644
24/11/2023 14:22:00,19 104894
24/11/2023 14:22:06,22 105026
24/11/2023 14:22:12,18 105211
24/11/2023 14:22:18,19 104359
24/11/2023 14:22:24,18 105350
24/11/2023 14:22:30,12 104815
24/11/2023 14:22:36,20 104950
24/11/2023 14:22:42,15 105057
24/11/2023 14:22:47,12 104317
24/11/2023 14:22:52,18 105277
24/11/2023 14:22:58,21 104641
24/11/2023 14:23:04,17 102405
24/11/2023 14:23:09,21 101645
24/11/2023 14:23:15,17 105488
24/11/2023 14:23:21,16 105095
24/11/2023 14:23:27,21 104831
24/11/2023 14:23:33,15 105401
24/11/2023 14:23:39,19 105033
24/11/2023 14:23:45,12 105615
24/11/2023 14:23:51,17 105047
24/11/2023 14:23:57,19 104887
24/11/2023 14:24:03,12 102249
24/11/2023 14:24:08,21 102033
24/11/2023 14:24:14,11 102378
24/11/2023 14:24:19,11 101390
24/11/2023 14:24:24,30 105459
24/11/2023 14:24:30,15 68992
24/11/2023 14:24:36,21 108361
24/11/2023 14:24:42,18 105360
24/11/2023 14:24:48,21 104728
24/11/2023 14:24:54,20 105374
24/11/2023 14:25:00,22 104525
24/11/2023 14:25:06,17 105618
24/11/2023 14:25:12,21 105413
24/11/2023 14:25:18,15 104905
24/11/2023 14:25:23,11 105181
24/11/2023 14:25:28,21 104809
24/11/2023 14:25:34,16 105350
24/11/2023 14:25:39,21 105138
24/11/2023 14:25:45,18 105480
24/11/2023 14:25:51,21 69025
24/11/2023 14:25:57,13 105396
24/11/2023 14:26:02,12 105029
24/11/2023 14:26:07,17 105121
24/11/2023 14:26:12,13 105311
24/11/2023 14:26:17,22 105023
24/11/2023 14:26:23,12 104852
24/11/2023 14:26:28,18 104620
24/11/2023 14:26:33,12 104859
24/11/2023 14:26:38,22 104915
24/11/2023 14:26:44,13 102112
24/11/2023 14:26:50,22 101568
24/11/2023 14:26:56,12 105424
24/11/2023 14:27:01,12 104388
24/11/2023 14:27:06,18 105422
24/11/2023 14:27:12,14 104845
24/11/2023 14:27:18,20 105012
24/11/2023 14:27:24,19 105104
24/11/2023 14:27:30,13 104740
24/11/2023 14:27:35,11 105226
24/11/2023 14:27:40,17 105011
24/11/2023 14:27:46,17 105315
24/11/2023 14:27:52,15 104391
24/11/2023 14:27:58,19 105306
24/11/2023 14:28:04,12 105033
24/11/2023 14:28:10,18 105109
24/11/2023 14:28:16,14 105335
24/11/2023 14:28:21,13 104455
24/11/2023 14:28:26,21 105262
24/11/2023 14:28:32,17 104458
24/11/2023 14:28:38,14 84013
24/11/2023 14:28:43,15 105945
24/11/2023 14:28:49,16 105586
24/11/2023 14:28:54,12 100039
24/11/2023 14:28:59,13 99935
24/11/2023 14:29:04,17 106248
24/11/2023 14:29:10,13 106472
24/11/2023 14:29:15,12 106519
24/11/2023 14:29:20,15 106083
24/11/2023 14:29:26,18 106575
24/11/2023 14:29:32,13 105897
24/11/2023 14:29:37,20 106707
24/11/2023 14:29:43,15 106260
24/11/2023 14:29:48,20 106798
24/11/2023 14:29:54,12 105982
24/11/2023 14:29:59,18 106114
24/11/2023 14:30:05,19 106113
24/11/2023 14:30:11,13 106261
24/11/2023 14:30:17,11 106427
24/11/2023 14:30:22,11 105663
