Inicio: 24/11/2023 17:13:58,68 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: key-prop-refatorado.txt
24/11/2023 18:22:02,12 116260
24/11/2023 18:22:13,22 101103
24/11/2023 18:22:24,23 119047
24/11/2023 18:22:35,14 120863
24/11/2023 18:22:46,13 116302
24/11/2023 18:22:57,16 112156
24/11/2023 18:23:08,23 127633
24/11/2023 18:23:19,14 135779
24/11/2023 18:23:30,12 118644
24/11/2023 18:23:41,11 124949
24/11/2023 18:23:52,16 114922
24/11/2023 18:24:03,18 116209
24/11/2023 18:24:14,18 116193
24/11/2023 18:24:25,17 117555
24/11/2023 18:24:36,18 106273
24/11/2023 18:24:47,12 123281
24/11/2023 18:24:58,15 125127
24/11/2023 18:25:09,12 109260
24/11/2023 18:25:20,13 112085
24/11/2023 18:25:31,21 136715
24/11/2023 18:25:42,14 137948
24/11/2023 18:25:53,15 120721
24/11/2023 18:26:04,14 136854
24/11/2023 18:26:15,20 137931
24/11/2023 18:26:26,19 147505
24/11/2023 18:26:37,18 103402
24/11/2023 18:26:48,16 105032
24/11/2023 18:26:59,14 137427
24/11/2023 18:27:10,13 124629
24/11/2023 18:27:21,20 128064
24/11/2023 18:27:32,22 126828
24/11/2023 18:27:43,18 116516
24/11/2023 18:27:54,22 136561
24/11/2023 18:28:05,13 134353
24/11/2023 18:28:16,16 135551
24/11/2023 18:28:27,12 135575
24/11/2023 18:28:38,17 122714
24/11/2023 18:28:49,15 119819
24/11/2023 18:29:00,17 128992
24/11/2023 18:29:11,16 124243
24/11/2023 18:29:22,12 99011
24/11/2023 18:29:33,21 100343
24/11/2023 18:29:44,12 129859
24/11/2023 18:29:55,15 131052
24/11/2023 18:30:06,12 107123
24/11/2023 18:30:17,15 123174
24/11/2023 18:30:28,12 124372
24/11/2023 18:30:39,21 125441
24/11/2023 18:30:50,11 109835
24/11/2023 18:31:01,21 111425
24/11/2023 18:31:12,19 120480
24/11/2023 18:31:23,12 133696
24/11/2023 18:31:34,12 104662
24/11/2023 18:31:45,21 106251
24/11/2023 18:31:56,16 107213
24/11/2023 18:32:07,19 99815
24/11/2023 18:32:18,19 100715
24/11/2023 18:32:29,21 101896
24/11/2023 18:32:40,14 101883
24/11/2023 18:32:51,12 143239
24/11/2023 18:33:02,20 120691
24/11/2023 18:33:13,20 140822
24/11/2023 18:33:24,14 117500
24/11/2023 18:33:35,14 107999
24/11/2023 18:33:46,18 125299
24/11/2023 18:33:57,11 123842
24/11/2023 18:34:08,19 124852
24/11/2023 18:34:19,16 122742
24/11/2023 18:34:30,13 108104
24/11/2023 18:34:41,16 109279
24/11/2023 18:34:52,12 140620
24/11/2023 18:35:03,13 101672
24/11/2023 18:35:14,14 102872
24/11/2023 18:35:25,18 144846
24/11/2023 18:35:36,17 102712
24/11/2023 18:35:47,19 108620
24/11/2023 18:35:58,16 110000
24/11/2023 18:36:09,13 135439
24/11/2023 18:36:20,12 121712
24/11/2023 18:36:31,18 139193
24/11/2023 18:36:42,12 140425
24/11/2023 18:36:53,17 140475
24/11/2023 18:37:04,16 136116
24/11/2023 18:37:15,13 122785
24/11/2023 18:37:26,21 111358
24/11/2023 18:37:37,13 109886
24/11/2023 18:37:48,21 106367
24/11/2023 18:37:59,19 122151
24/11/2023 18:38:10,13 114794
24/11/2023 18:38:21,12 115753
24/11/2023 18:38:32,21 114256
24/11/2023 18:38:43,12 113845
24/11/2023 18:38:54,18 113885
24/11/2023 18:39:05,13 117678
24/11/2023 18:39:16,19 122690
24/11/2023 18:39:27,14 123797
24/11/2023 18:39:38,22 119065
24/11/2023 18:39:49,14 122970
24/11/2023 18:40:00,18 137557
24/11/2023 18:40:11,22 136295
24/11/2023 18:40:22,13 134412
24/11/2023 18:40:33,20 108324
24/11/2023 18:40:44,13 121477
24/11/2023 18:40:55,19 122753
24/11/2023 18:41:06,13 122674
24/11/2023 18:41:17,20 136988
24/11/2023 18:41:28,15 114980
24/11/2023 18:41:39,22 135341
24/11/2023 18:41:50,16 140977
24/11/2023 18:42:01,18 119205
24/11/2023 18:42:12,18 112950
24/11/2023 18:42:23,17 135716
24/11/2023 18:42:34,19 106325
24/11/2023 18:42:45,21 136291
24/11/2023 18:42:56,19 137967
24/11/2023 18:43:07,12 137941
24/11/2023 18:43:18,12 144644
24/11/2023 18:43:29,20 109331
24/11/2023 18:43:40,19 123754
24/11/2023 18:43:51,15 128585
24/11/2023 18:44:02,15 122075
24/11/2023 18:44:13,12 134294
24/11/2023 18:44:24,15 134309
24/11/2023 18:44:35,18 118047
24/11/2023 18:44:46,16 124118
24/11/2023 18:44:57,13 126629
24/11/2023 18:45:08,16 127803
24/11/2023 18:45:19,15 127807
24/11/2023 18:45:30,13 140404
24/11/2023 18:45:41,15 120145
24/11/2023 18:45:52,16 103773
24/11/2023 18:46:03,20 111335
24/11/2023 18:46:14,21 120616
24/11/2023 18:46:25,13 119490
24/11/2023 18:46:36,18 126917
24/11/2023 18:46:47,14 109911
24/11/2023 18:46:58,14 124713
24/11/2023 18:47:09,19 126215
24/11/2023 18:47:20,16 126208
24/11/2023 18:47:31,18 134717
24/11/2023 18:47:42,19 119383
24/11/2023 18:47:53,17 126787
24/11/2023 18:48:04,12 118412
24/11/2023 18:48:15,20 127309
24/11/2023 18:48:26,21 124506
24/11/2023 18:48:37,17 120452
24/11/2023 18:48:48,14 119732
24/11/2023 18:48:59,15 140735
24/11/2023 18:49:10,14 115447
24/11/2023 18:49:21,17 116629
24/11/2023 18:49:32,18 116491
24/11/2023 18:49:43,18 119589
24/11/2023 18:49:54,19 121314
24/11/2023 18:50:05,16 140025
24/11/2023 18:50:16,21 131305
24/11/2023 18:50:27,22 112516
24/11/2023 18:50:38,13 111737
24/11/2023 18:50:49,16 145537
24/11/2023 18:51:00,19 132074
24/11/2023 18:51:11,21 121517
24/11/2023 18:51:22,16 122854
24/11/2023 18:51:33,22 122786
24/11/2023 18:51:44,15 142101
24/11/2023 18:51:55,20 122229
24/11/2023 18:52:06,16 144359
24/11/2023 18:52:17,17 138656
24/11/2023 18:52:28,16 135303
24/11/2023 18:52:39,18 116358
24/11/2023 18:52:50,22 109079
24/11/2023 18:53:01,16 110347
24/11/2023 18:53:12,13 127981
24/11/2023 18:53:23,12 134932
24/11/2023 18:53:34,20 136156
24/11/2023 18:53:45,20 152422
24/11/2023 18:53:56,20 118018
24/11/2023 18:54:07,19 119735
24/11/2023 18:54:18,16 136700
24/11/2023 18:54:29,18 118952
24/11/2023 18:54:40,15 103495
24/11/2023 18:54:51,19 122197
24/11/2023 18:55:02,12 107304
24/11/2023 18:55:13,17 132157
24/11/2023 18:55:24,15 131476
24/11/2023 18:55:35,14 132750
24/11/2023 18:55:46,19 132744
24/11/2023 18:55:57,18 123153
24/11/2023 18:56:08,12 108980
24/11/2023 18:56:19,19 141523
24/11/2023 18:56:30,13 137137
24/11/2023 18:56:41,21 118583
24/11/2023 18:56:52,17 109356
24/11/2023 18:57:03,21 126575
24/11/2023 18:57:14,21 127696
24/11/2023 18:57:25,18 134751
24/11/2023 18:57:36,13 141580
24/11/2023 18:57:47,14 142636
24/11/2023 18:57:58,15 132221
24/11/2023 18:58:09,22 116632
24/11/2023 18:58:20,18 118267
24/11/2023 18:58:31,19 139615
24/11/2023 18:58:42,17 111144
24/11/2023 18:58:53,18 131089
24/11/2023 18:59:04,19 132456
24/11/2023 18:59:15,20 109914
24/11/2023 18:59:26,19 108572
24/11/2023 18:59:37,21 128115
24/11/2023 18:59:48,14 129320
24/11/2023 18:59:59,22 128906
24/11/2023 19:00:10,15 145562
24/11/2023 19:00:21,19 111349
24/11/2023 19:00:32,20 126690
24/11/2023 19:00:43,12 107848
24/11/2023 19:00:54,18 131915
24/11/2023 19:01:05,12 139642
24/11/2023 19:01:16,22 116967
24/11/2023 19:01:27,15 117957
24/11/2023 19:01:38,13 135980
24/11/2023 19:01:49,18 124756
24/11/2023 19:02:00,18 125848
24/11/2023 19:02:11,14 143370
24/11/2023 19:02:22,12 123419
24/11/2023 19:02:33,21 124847
24/11/2023 19:02:44,20 132134
24/11/2023 19:02:55,21 130551
24/11/2023 19:03:06,12 125407
24/11/2023 19:03:17,19 125105
24/11/2023 19:03:28,19 109914
24/11/2023 19:03:39,22 128663
24/11/2023 19:03:50,20 109724
24/11/2023 19:04:01,15 105674
24/11/2023 19:04:12,20 105627
24/11/2023 19:04:23,19 145342
24/11/2023 19:04:34,17 122854
24/11/2023 19:04:45,13 140208
24/11/2023 19:04:56,12 119416
24/11/2023 19:05:07,23 125575
24/11/2023 19:05:18,16 108388
24/11/2023 19:05:29,16 123014
24/11/2023 19:05:40,18 123759
