Inicio: 24/11/2023 15:55:42,45 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: key-prop.txt
24/11/2023 17:09:09,21 143759
24/11/2023 17:09:20,17 143080
24/11/2023 17:09:31,12 144442
24/11/2023 17:09:42,13 144424
24/11/2023 17:09:53,22 151957
24/11/2023 17:10:04,12 127124
24/11/2023 17:10:15,16 141455
24/11/2023 17:10:26,16 143312
24/11/2023 17:10:37,18 142920
24/11/2023 17:10:48,21 145535
24/11/2023 17:10:59,13 144895
