Inicio: 22/11/2023 16:55:05,55 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: unloadAsync.txt
22/11/2023 17:41:49,19 116267
22/11/2023 17:42:00,13 115221
22/11/2023 17:42:11,23 113197
22/11/2023 17:42:22,12 113191
22/11/2023 17:42:32,13 114501
22/11/2023 17:42:42,20 114337
22/11/2023 17:42:53,12 114652
22/11/2023 17:43:03,21 115604
22/11/2023 17:43:37,21 114324
22/11/2023 17:43:48,13 115072
22/11/2023 17:43:59,14 115117
22/11/2023 17:44:10,17 115211
22/11/2023 17:44:22,14 114502
22/11/2023 17:44:32,13 115540
22/11/2023 17:45:14,21 84776
22/11/2023 17:46:22,18 115175
22/11/2023 17:46:33,20 114729
22/11/2023 17:46:44,16 115899
22/11/2023 17:46:56,16 115110
22/11/2023 17:47:07,12 113428
22/11/2023 17:47:18,17 79395
22/11/2023 17:47:29,13 74530
22/11/2023 17:47:40,17 74513
22/11/2023 17:47:51,19 113709
22/11/2023 17:48:02,21 113918
22/11/2023 17:48:13,12 112755
22/11/2023 17:48:24,13 110953
22/11/2023 17:48:35,21 111478
22/11/2023 17:48:46,18 112582
22/11/2023 17:48:57,18 112486
22/11/2023 17:49:08,12 112566
22/11/2023 17:49:19,13 111806
22/11/2023 17:49:30,20 112950
22/11/2023 17:49:41,18 110720
22/11/2023 17:49:52,21 111445
22/11/2023 17:50:03,13 112575
22/11/2023 17:50:13,21 112469
22/11/2023 17:50:24,13 112011
22/11/2023 17:50:35,14 111847
22/11/2023 17:50:46,18 112791
22/11/2023 17:50:57,13 110715
22/11/2023 17:51:08,17 111268
22/11/2023 17:51:19,13 112444
22/11/2023 17:51:30,17 111927
22/11/2023 17:51:41,16 113147
22/11/2023 17:51:52,12 112023
22/11/2023 17:52:03,14 110397
22/11/2023 17:52:13,13 109507
22/11/2023 17:52:24,18 110884
22/11/2023 17:52:35,22 110727
22/11/2023 17:52:46,20 110470
22/11/2023 17:52:57,15 111482
22/11/2023 17:53:08,17 110424
22/11/2023 17:53:19,12 108694
22/11/2023 17:53:29,18 74108
22/11/2023 17:53:40,12 71224
22/11/2023 17:53:50,16 71200
22/11/2023 17:54:00,14 110767
22/11/2023 17:54:11,13 111491
22/11/2023 17:54:22,18 110323
22/11/2023 17:54:33,16 109027
22/11/2023 17:54:44,13 109946
22/11/2023 17:54:55,21 111120
22/11/2023 17:55:06,18 111124
22/11/2023 17:55:17,22 111076
22/11/2023 17:55:28,14 110348
22/11/2023 17:55:39,12 111678
22/11/2023 17:55:50,16 109207
22/11/2023 17:56:01,19 73876
22/11/2023 17:56:12,18 71307
22/11/2023 17:56:23,17 71239
22/11/2023 17:56:34,22 110366
22/11/2023 17:56:45,21 110640
22/11/2023 17:56:56,21 111692
22/11/2023 17:57:07,12 109350
22/11/2023 17:57:17,15 109911
22/11/2023 17:57:28,18 111243
22/11/2023 17:57:39,16 111139
22/11/2023 17:57:50,14 111134
22/11/2023 17:58:01,15 110727
22/11/2023 17:58:11,19 111483
22/11/2023 17:58:22,11 109364
22/11/2023 17:58:33,15 109987
22/11/2023 17:58:44,13 111131
22/11/2023 17:58:55,18 110392
22/11/2023 17:59:06,17 111563
22/11/2023 17:59:17,13 110386
22/11/2023 17:59:27,18 113044
22/11/2023 17:59:38,15 109503
22/11/2023 17:59:49,16 110900
22/11/2023 18:00:00,21 110868
