Inicio: 22/11/2023 14:50:35,02 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 60 min - Log: simple-videos.txt
22/11/2023 15:17:02,17 114880
22/11/2023 15:17:08,17 112222
22/11/2023 15:17:14,19 112039
22/11/2023 15:17:20,17 114034
22/11/2023 15:17:26,12 112434
22/11/2023 15:17:32,18 115681
22/11/2023 15:17:38,20 113505
22/11/2023 15:17:44,15 113317
22/11/2023 15:17:50,18 112733
22/11/2023 15:17:56,21 112725
22/11/2023 15:18:02,14 116101
22/11/2023 15:18:08,14 113305
22/11/2023 15:18:14,15 113160
22/11/2023 15:18:20,11 114905
22/11/2023 15:18:25,13 112008
22/11/2023 15:18:30,14 111692
22/11/2023 15:18:35,21 114374
22/11/2023 15:18:41,12 112730
22/11/2023 15:18:47,19 115720
22/11/2023 15:18:53,17 113530
22/11/2023 15:18:59,18 113214
22/11/2023 15:19:05,21 112766
22/11/2023 15:19:11,22 112750
22/11/2023 15:19:17,18 116287
22/11/2023 15:19:23,15 113355
22/11/2023 15:19:29,19 114974
22/11/2023 15:19:35,12 112172
22/11/2023 15:19:40,18 112098
22/11/2023 15:19:46,20 114126
22/11/2023 15:19:52,15 112770
22/11/2023 15:19:58,13 115506
22/11/2023 15:20:04,15 113233
22/11/2023 15:20:10,19 113255
22/11/2023 15:20:16,12 112571
22/11/2023 15:20:22,18 112495
22/11/2023 15:20:27,21 115601
22/11/2023 15:20:33,19 113211
22/11/2023 15:20:39,12 113206
22/11/2023 15:20:45,17 114753
22/11/2023 15:20:51,19 112085
22/11/2023 15:20:57,18 111905
22/11/2023 15:21:03,13 114275
22/11/2023 15:21:09,15 112659
22/11/2023 15:21:15,18 115645
22/11/2023 15:21:21,20 113497
22/11/2023 15:21:27,12 113169
22/11/2023 15:21:33,21 112701
22/11/2023 15:21:39,18 112701
22/11/2023 15:21:45,22 116179
22/11/2023 15:21:51,22 113222
22/11/2023 15:21:57,22 114863
22/11/2023 15:22:03,14 112119
22/11/2023 15:22:09,21 112165
22/11/2023 15:22:15,18 114027
22/11/2023 15:22:21,21 112675
