Inicio: 22/11/2023 12:44:28,94 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: simple-imagens.txt
22/11/2023 13:05:51,13 108853
22/11/2023 13:05:56,22 108821
22/11/2023 13:06:02,20 108870
22/11/2023 13:06:08,20 108842
22/11/2023 13:06:14,28 108850
22/11/2023 13:06:20,13 109123
22/11/2023 13:06:26,14 108972
22/11/2023 13:06:31,17 108948
22/11/2023 13:06:37,11 109156
22/11/2023 13:06:42,21 109136
22/11/2023 13:06:48,22 109152
22/11/2023 13:06:54,14 109012
22/11/2023 13:07:00,16 109080
22/11/2023 13:07:06,20 109039
22/11/2023 13:07:12,19 108968
22/11/2023 13:07:17,18 108956
22/11/2023 13:07:23,19 108984
22/11/2023 13:07:29,23 108992
22/11/2023 13:07:35,12 108332
22/11/2023 13:07:41,12 108364
22/11/2023 13:07:47,22 108328
22/11/2023 13:07:53,20 108412
22/11/2023 13:07:59,18 108387
22/11/2023 13:08:05,13 108399
22/11/2023 13:08:10,18 108383
22/11/2023 13:08:16,13 108411
22/11/2023 13:08:21,14 108387
22/11/2023 13:08:26,13 108407
22/11/2023 13:08:31,19 108383
22/11/2023 13:08:36,14 108415
22/11/2023 13:08:41,18 108387
22/11/2023 13:08:47,16 108427
22/11/2023 13:08:52,12 108399
22/11/2023 13:08:58,20 108431
22/11/2023 13:09:04,12 108403
22/11/2023 13:09:09,13 108455
22/11/2023 13:09:14,19 108423
22/11/2023 13:09:20,16 108435
22/11/2023 13:09:25,26 108439
22/11/2023 13:09:31,20 108467
22/11/2023 13:09:36,12 108416
22/11/2023 13:09:41,21 108412
22/11/2023 13:09:47,20 108444
22/11/2023 13:09:53,13 108452
22/11/2023 13:09:58,15 108400
22/11/2023 13:10:03,14 107713
22/11/2023 13:10:08,18 107461
22/11/2023 13:10:13,15 107434
22/11/2023 13:10:19,19 107466
22/11/2023 13:10:25,19 107438
22/11/2023 13:10:31,21 107462
22/11/2023 13:10:37,17 107466
22/11/2023 13:10:42,16 107446
22/11/2023 13:10:48,15 107470
22/11/2023 13:10:54,17 107446
22/11/2023 13:11:00,11 107536
22/11/2023 13:11:06,19 107516
22/11/2023 13:11:11,17 107584
22/11/2023 13:11:17,18 107568
22/11/2023 13:11:22,20 107732
22/11/2023 13:11:27,14 107700
22/11/2023 13:11:33,21 107728
22/11/2023 13:11:39,19 107712
22/11/2023 13:11:45,14 107680
22/11/2023 13:11:50,16 107696
22/11/2023 13:11:55,17 107719
22/11/2023 13:12:00,16 107904
22/11/2023 13:12:05,16 107802
22/11/2023 13:12:10,18 107778
22/11/2023 13:12:16,16 107798
22/11/2023 13:12:21,17 107782
22/11/2023 13:12:26,13 107770
22/11/2023 13:12:31,13 107614
22/11/2023 13:12:36,15 107590
22/11/2023 13:12:42,16 107608
22/11/2023 13:12:47,23 107419
22/11/2023 13:12:53,14 107443
22/11/2023 13:12:59,12 107429
22/11/2023 13:13:04,19 107437
22/11/2023 13:13:10,14 107433
22/11/2023 13:13:15,17 107445
22/11/2023 13:13:20,12 107433
22/11/2023 13:13:25,22 107453
22/11/2023 13:13:31,22 107445
22/11/2023 13:13:37,19 107453
22/11/2023 13:13:43,16 107445
22/11/2023 13:13:48,13 107453
22/11/2023 13:13:53,22 107449
22/11/2023 13:13:59,17 107439
22/11/2023 13:14:04,12 107431
22/11/2023 13:14:09,12 107423
22/11/2023 13:14:14,12 107415
22/11/2023 13:14:19,12 107431
22/11/2023 13:14:24,14 107423
22/11/2023 13:14:29,15 107627
22/11/2023 13:14:34,14 107595
22/11/2023 13:14:39,13 107614
22/11/2023 13:14:44,21 107585
22/11/2023 13:14:50,15 107625
22/11/2023 13:14:56,14 107593
22/11/2023 13:15:02,12 107609
22/11/2023 13:15:08,17 107593
22/11/2023 13:15:14,18 107617
22/11/2023 13:15:20,19 107599
22/11/2023 13:15:26,12 107615
22/11/2023 13:15:32,22 107595
22/11/2023 13:15:38,12 107603
22/11/2023 13:15:44,13 107599
22/11/2023 13:15:50,18 107611
22/11/2023 13:15:56,22 107627
22/11/2023 13:16:02,16 107593
22/11/2023 13:16:08,16 107613
22/11/2023 13:16:14,12 107597
22/11/2023 13:16:20,19 107609
22/11/2023 13:16:26,20 107589
22/11/2023 13:16:32,20 107797
22/11/2023 13:16:38,21 107749
22/11/2023 13:16:44,16 107793
22/11/2023 13:16:50,18 107781
22/11/2023 13:16:55,16 107809
22/11/2023 13:17:01,12 107793
22/11/2023 13:17:07,17 107821
22/11/2023 13:17:13,21 107829
22/11/2023 13:17:19,13 107797
22/11/2023 13:17:25,17 107833
22/11/2023 13:17:31,20 107801
22/11/2023 13:17:36,17 107829
22/11/2023 13:17:41,15 107487
22/11/2023 13:17:47,22 107506
22/11/2023 13:17:53,20 107478
22/11/2023 13:17:58,15 107516
22/11/2023 13:18:03,22 107452
22/11/2023 13:18:09,13 107476
22/11/2023 13:18:14,16 107448
22/11/2023 13:18:19,12 107452
22/11/2023 13:18:25,14 107480
22/11/2023 13:18:30,15 107456
22/11/2023 13:18:35,14 107480
22/11/2023 13:18:40,17 107460
22/11/2023 13:18:45,15 107480
22/11/2023 13:18:51,18 107460
22/11/2023 13:18:56,14 107472
22/11/2023 13:19:01,19 107425
22/11/2023 13:19:06,18 107472
22/11/2023 13:19:11,15 107452
22/11/2023 13:19:17,19 107484
22/11/2023 13:19:22,19 107456
22/11/2023 13:19:28,15 107487
22/11/2023 13:19:33,15 107471
22/11/2023 13:19:38,21 107487
22/11/2023 13:19:44,20 107475
22/11/2023 13:19:49,16 107479
22/11/2023 13:19:54,14 107463
22/11/2023 13:19:59,15 107487
22/11/2023 13:20:05,22 107483
22/11/2023 13:20:11,22 107491
22/11/2023 13:20:17,19 107475
22/11/2023 13:20:22,15 107833
22/11/2023 13:20:27,15 107809
22/11/2023 13:20:32,17 107837
22/11/2023 13:20:37,18 107809
22/11/2023 13:20:42,15 107813
22/11/2023 13:20:48,14 107841
22/11/2023 13:20:53,15 107817
22/11/2023 13:20:58,20 107841
22/11/2023 13:21:04,19 107825
22/11/2023 13:21:09,18 107845
22/11/2023 13:21:14,12 107829
22/11/2023 13:21:19,18 107865
22/11/2023 13:21:25,18 107825
22/11/2023 13:21:31,11 107861
22/11/2023 13:21:36,19 107841
22/11/2023 13:21:42,22 107881
22/11/2023 13:21:48,15 107787
22/11/2023 13:21:53,13 107879
22/11/2023 13:21:59,16 107815
22/11/2023 13:22:04,12 107619
22/11/2023 13:22:09,17 107595
22/11/2023 13:22:15,19 107607
22/11/2023 13:22:20,18 107591
22/11/2023 13:22:26,19 107619
22/11/2023 13:22:31,22 107591
22/11/2023 13:22:37,19 107617
22/11/2023 13:22:43,13 107593
22/11/2023 13:22:48,17 107605
22/11/2023 13:22:53,16 107589
22/11/2023 13:22:58,18 107605
22/11/2023 13:23:03,13 107758
22/11/2023 13:23:08,13 107774
22/11/2023 13:23:13,17 107762
22/11/2023 13:23:19,17 107782
22/11/2023 13:23:25,18 107758
22/11/2023 13:23:31,15 107770
22/11/2023 13:23:36,21 107754
22/11/2023 13:23:42,12 107766
22/11/2023 13:23:47,12 107710
22/11/2023 13:23:52,22 107762
22/11/2023 13:23:58,19 107750
22/11/2023 13:24:04,19 108062
22/11/2023 13:24:10,16 108042
22/11/2023 13:24:16,21 108054
22/11/2023 13:24:22,20 108042
22/11/2023 13:24:28,24 108054
22/11/2023 13:24:34,20 108042
22/11/2023 13:24:40,19 108042
22/11/2023 13:24:46,16 108074
22/11/2023 13:24:51,21 108046
22/11/2023 13:24:57,20 108084
22/11/2023 13:25:03,22 108050
22/11/2023 13:25:09,19 108082
22/11/2023 13:25:14,11 108050
22/11/2023 13:25:19,15 108090
22/11/2023 13:25:24,22 108058
22/11/2023 13:25:30,17 108098
22/11/2023 13:25:35,16 108058
22/11/2023 13:25:40,12 108130
22/11/2023 13:25:45,12 108142
22/11/2023 13:25:50,19 108126
22/11/2023 13:25:56,16 108126
22/11/2023 13:26:02,13 108110
22/11/2023 13:26:07,14 108090
22/11/2023 13:26:12,19 108098
22/11/2023 13:26:17,19 108122
22/11/2023 13:26:22,13 108102
22/11/2023 13:26:27,13 108126
22/11/2023 13:26:32,15 108106
22/11/2023 13:26:37,12 108130
22/11/2023 13:26:42,15 108106
22/11/2023 13:26:47,19 108134
22/11/2023 13:26:52,19 108106
22/11/2023 13:26:58,17 108142
22/11/2023 13:27:03,22 108286
22/11/2023 13:27:09,22 108326
22/11/2023 13:27:15,14 108288
22/11/2023 13:27:21,12 108304
22/11/2023 13:27:26,18 108288
22/11/2023 13:27:32,16 108680
22/11/2023 13:27:37,12 108476
22/11/2023 13:27:42,12 108504
22/11/2023 13:27:47,21 108484
22/11/2023 13:27:53,18 108504
22/11/2023 13:27:59,18 108486
22/11/2023 13:28:05,17 108582
22/11/2023 13:28:10,13 108554
22/11/2023 13:28:15,15 108566
22/11/2023 13:28:20,17 108519
22/11/2023 13:28:25,22 108534
22/11/2023 13:28:31,18 108570
22/11/2023 13:28:36,13 108542
22/11/2023 13:28:41,13 108646
22/11/2023 13:28:46,17 108618
22/11/2023 13:28:51,15 108638
22/11/2023 13:28:56,17 108618
22/11/2023 13:29:01,16 108642
22/11/2023 13:29:06,19 108622
22/11/2023 13:29:12,18 108646
22/11/2023 13:29:17,16 108630
22/11/2023 13:29:22,18 108654
22/11/2023 13:29:28,12 108632
22/11/2023 13:29:33,11 108656
22/11/2023 13:29:38,19 108640
22/11/2023 13:29:43,13 108660
22/11/2023 13:29:48,12 108644
22/11/2023 13:29:52,41 108644
22/11/2023 13:29:58,19 108654
22/11/2023 13:30:03,12 108634
22/11/2023 13:30:08,21 108658
22/11/2023 13:30:14,11 108638
22/11/2023 13:30:19,18 108654
22/11/2023 13:30:25,17 108634
22/11/2023 13:30:30,14 108639
22/11/2023 13:30:35,19 108606
22/11/2023 13:30:41,17 108650
22/11/2023 13:30:46,21 108622
22/11/2023 13:30:52,14 108646
22/11/2023 13:30:57,19 108626
22/11/2023 13:31:03,18 108642
22/11/2023 13:31:08,20 108626
22/11/2023 13:31:14,13 108646
22/11/2023 13:31:19,14 108630
22/11/2023 13:31:24,16 108646
22/11/2023 13:31:29,22 108634
22/11/2023 13:31:35,19 108646
22/11/2023 13:31:41,21 108632
22/11/2023 13:31:46,22 108640
22/11/2023 13:31:52,12 108636
22/11/2023 13:31:57,20 108656
22/11/2023 13:32:02,17 108630
22/11/2023 13:32:08,13 108650
22/11/2023 13:32:13,15 108630
22/11/2023 13:32:19,13 108662
22/11/2023 13:32:25,19 108634
22/11/2023 13:32:31,18 108642
22/11/2023 13:32:36,13 108634
22/11/2023 13:32:41,15 108646
22/11/2023 13:32:46,19 108595
22/11/2023 13:32:51,18 108654
22/11/2023 13:32:56,13 108641
22/11/2023 13:33:02,18 108661
22/11/2023 13:33:08,19 108645
22/11/2023 13:33:14,15 108657
22/11/2023 13:33:19,14 108645
22/11/2023 13:33:24,12 108669
22/11/2023 13:33:29,18 108645
22/11/2023 13:33:34,21 108637
22/11/2023 13:33:39,13 108669
22/11/2023 13:33:44,16 108393
22/11/2023 13:33:49,22 108380
22/11/2023 13:33:55,19 108354
22/11/2023 13:34:01,14 108364
22/11/2023 13:34:06,20 108131
22/11/2023 13:34:11,13 107662
22/11/2023 13:34:16,17 107642
22/11/2023 13:34:21,21 107666
22/11/2023 13:34:27,12 107646
22/11/2023 13:34:32,15 107628
22/11/2023 13:34:37,19 107608
22/11/2023 13:34:42,19 107632
22/11/2023 13:34:47,13 107604
22/11/2023 13:34:53,22 107632
22/11/2023 13:34:59,17 107580
22/11/2023 13:35:04,15 107751
22/11/2023 13:35:10,14 107751
22/11/2023 13:35:16,16 107755
22/11/2023 13:35:21,13 107743
22/11/2023 13:35:26,19 107759
22/11/2023 13:35:32,14 107747
22/11/2023 13:35:38,20 107754
22/11/2023 13:35:44,15 107746
22/11/2023 13:35:49,19 107750
22/11/2023 13:35:54,15 107738
22/11/2023 13:36:00,16 107762
22/11/2023 13:36:05,15 107742
22/11/2023 13:36:11,14 107902
22/11/2023 13:36:16,19 107878
22/11/2023 13:36:22,19 107898
22/11/2023 13:36:28,20 107878
22/11/2023 13:36:34,15 107918
22/11/2023 13:36:39,20 107898
22/11/2023 13:36:44,12 107922
22/11/2023 13:36:49,19 107902
22/11/2023 13:36:55,14 107922
22/11/2023 13:37:00,20 107898
22/11/2023 13:37:05,20 107916
22/11/2023 13:37:11,21 107912
22/11/2023 13:37:17,20 107928
22/11/2023 13:37:23,21 107916
22/11/2023 13:37:29,14 107919
22/11/2023 13:37:34,20 107911
22/11/2023 13:37:40,18 107931
22/11/2023 13:37:46,13 107914
22/11/2023 13:37:51,13 107942
22/11/2023 13:37:56,20 107922
22/11/2023 13:38:02,21 107934
22/11/2023 13:38:08,13 107921
22/11/2023 13:38:13,16 107933
22/11/2023 13:38:18,16 107918
22/11/2023 13:38:23,17 107934
22/11/2023 13:38:28,19 107918
22/11/2023 13:38:33,11 107942
22/11/2023 13:38:38,16 107918
22/11/2023 13:38:43,16 107946
22/11/2023 13:38:48,16 107922
22/11/2023 13:38:53,21 107922
22/11/2023 13:38:59,15 107938
22/11/2023 13:39:04,20 107918
22/11/2023 13:39:10,16 107910
22/11/2023 13:39:16,13 107934
22/11/2023 13:39:21,15 107914
22/11/2023 13:39:26,17 107902
22/11/2023 13:39:31,13 107930
22/11/2023 13:39:36,19 107910
22/11/2023 13:39:41,18 107938
22/11/2023 13:39:47,15 107918
22/11/2023 13:39:52,17 107930
22/11/2023 13:39:57,19 107910
22/11/2023 13:40:03,17 107924
22/11/2023 13:40:08,16 107903
22/11/2023 13:40:14,19 107927
22/11/2023 13:40:20,12 107908
22/11/2023 13:45:19,13 110435
22/11/2023 13:45:24,14 107975
22/11/2023 13:45:29,11 107919
22/11/2023 13:45:34,22 107951
22/11/2023 13:45:40,22 107935
22/11/2023 13:45:46,12 107951
22/11/2023 13:45:51,22 107931
22/11/2023 13:45:57,13 107959
22/11/2023 13:46:02,14 107935
22/11/2023 13:46:07,14 107935
22/11/2023 13:46:13,20 107909
22/11/2023 13:46:18,19 107925
22/11/2023 13:46:23,16 107907
22/11/2023 13:46:28,20 107929
22/11/2023 13:46:33,20 107905
22/11/2023 13:46:38,12 107937
22/11/2023 13:46:44,12 107913
22/11/2023 13:46:49,12 107933
22/11/2023 13:46:54,13 107905
22/11/2023 13:47:00,13 107941
22/11/2023 13:47:06,21 107901
22/11/2023 13:47:12,20 107901
22/11/2023 13:47:18,15 107893
22/11/2023 13:47:23,18 107917
22/11/2023 13:47:28,11 107897
22/11/2023 13:47:33,15 107929
22/11/2023 13:47:38,14 107897
22/11/2023 13:47:43,20 107929
22/11/2023 13:47:49,16 107905
22/11/2023 13:47:55,21 108086
22/11/2023 13:48:01,20 108070
22/11/2023 13:48:07,18 108084
22/11/2023 13:48:13,18 108068
22/11/2023 13:48:18,21 108089
22/11/2023 13:48:23,21 108066
22/11/2023 13:48:28,14 108090
22/11/2023 13:48:33,18 108070
22/11/2023 13:48:38,22 108102
22/11/2023 13:48:44,19 108082
22/11/2023 13:48:50,15 108098
22/11/2023 13:48:55,20 108074
22/11/2023 13:49:00,13 108078
22/11/2023 13:49:05,14 108094
22/11/2023 13:49:10,21 108064
22/11/2023 13:49:16,16 108110
22/11/2023 13:49:21,15 108090
22/11/2023 13:49:27,20 108118
22/11/2023 13:49:33,21 108102
22/11/2023 13:49:39,20 108098
22/11/2023 13:49:44,16 108126
22/11/2023 13:49:50,21 108110
22/11/2023 13:49:56,14 108150
22/11/2023 13:50:02,16 108098
22/11/2023 13:50:08,17 108108
22/11/2023 13:50:14,17 108096
22/11/2023 13:50:19,16 108102
22/11/2023 13:50:24,19 108090
22/11/2023 13:50:30,19 108118
22/11/2023 13:50:35,15 108090
22/11/2023 13:50:40,18 108106
22/11/2023 13:50:45,20 108086
22/11/2023 13:50:50,12 108090
22/11/2023 13:50:56,14 108114
22/11/2023 13:51:02,22 108114
22/11/2023 13:51:08,13 108064
22/11/2023 13:51:13,16 108104
22/11/2023 13:51:18,17 108084
22/11/2023 13:51:23,17 108088
22/11/2023 13:51:28,19 108108
22/11/2023 13:51:34,18 108092
22/11/2023 13:51:40,14 108104
22/11/2023 13:51:45,15 108084
22/11/2023 13:51:51,18 108120
22/11/2023 13:51:56,14 108084
22/11/2023 13:52:01,20 108108
22/11/2023 13:52:06,14 108082
22/11/2023 13:52:11,13 108102
22/11/2023 13:52:16,20 108082
22/11/2023 13:52:22,20 108118
22/11/2023 13:52:27,11 108086
22/11/2023 13:52:32,19 108114
22/11/2023 13:52:37,11 108090
22/11/2023 13:52:42,15 108118
22/11/2023 13:52:47,17 108091
22/11/2023 13:52:52,18 108127
22/11/2023 13:52:58,13 108096
22/11/2023 13:53:03,16 108128
22/11/2023 13:53:08,20 108062
22/11/2023 13:53:14,13 108124
22/11/2023 13:53:20,19 108104
22/11/2023 13:53:26,17 108112
22/11/2023 13:53:31,19 108104
22/11/2023 13:53:36,12 108128
22/11/2023 13:53:41,13 108108
22/11/2023 13:53:46,16 108100
22/11/2023 13:53:51,16 108124
22/11/2023 13:53:56,17 108100
22/11/2023 13:54:01,15 108106
22/11/2023 13:54:06,21 108094
22/11/2023 13:54:12,15 108110
22/11/2023 13:54:17,21 108092
22/11/2023 13:54:23,16 108116
22/11/2023 13:54:28,12 108096
22/11/2023 13:54:33,15 108116
22/11/2023 13:54:38,11 108100
22/11/2023 13:54:43,20 108120
22/11/2023 13:54:48,20 108100
22/11/2023 13:54:53,12 108120
22/11/2023 13:54:58,15 108092
22/11/2023 13:55:03,21 108088
22/11/2023 13:55:09,19 108097
22/11/2023 13:55:15,12 108112
22/11/2023 13:55:20,12 108096
22/11/2023 13:55:25,15 108088
22/11/2023 13:55:30,19 108112
22/11/2023 13:55:35,21 108088
22/11/2023 13:55:40,16 108108
22/11/2023 13:55:45,22 108092
22/11/2023 13:55:51,15 108116
22/11/2023 13:55:56,14 108092
22/11/2023 13:56:02,12 108120
22/11/2023 13:56:07,14 108092
22/11/2023 13:56:12,15 108116
22/11/2023 13:56:17,15 108092
22/11/2023 13:56:22,17 108120
22/11/2023 13:56:27,21 108096
22/11/2023 13:56:33,14 108124
22/11/2023 13:56:38,22 108108
22/11/2023 13:56:44,16 108128
22/11/2023 13:56:49,17 108108
