Inicio: 25/11/2023  2:16:57,29 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: key-prop-no-anonymous-func.txt
25/11/2023 03:05:17,17 113293
25/11/2023 03:05:23,20 113305
25/11/2023 03:05:29,15 94684
25/11/2023 03:05:35,12 93741
25/11/2023 03:05:41,18 93177
25/11/2023 03:05:47,12 94796
25/11/2023 03:05:53,20 92096
25/11/2023 03:05:59,13 103721
25/11/2023 03:06:05,17 102067
25/11/2023 03:06:11,12 101955
25/11/2023 03:06:17,13 101931
25/11/2023 03:06:23,15 101847
25/11/2023 03:06:29,18 115837
25/11/2023 03:06:35,18 94752
25/11/2023 03:06:41,19 95667
25/11/2023 03:06:47,19 95801
25/11/2023 03:06:53,20 108399
25/11/2023 03:06:59,11 103147
25/11/2023 03:07:04,22 91284
25/11/2023 03:07:10,14 101613
25/11/2023 03:07:16,13 102006
25/11/2023 03:07:22,18 96666
25/11/2023 03:07:28,17 96872
25/11/2023 03:07:34,20 96816
25/11/2023 03:07:40,14 99725
25/11/2023 03:07:46,12 96741
25/11/2023 03:07:52,14 112350
25/11/2023 03:07:58,15 109581
25/11/2023 03:08:04,14 111983
25/11/2023 03:08:10,21 110351
25/11/2023 03:08:16,18 110239
25/11/2023 03:08:22,13 110183
25/11/2023 03:08:28,16 110005
25/11/2023 03:08:34,21 119490
25/11/2023 03:08:40,16 119793
25/11/2023 03:08:46,12 96321
25/11/2023 03:08:52,16 96482
25/11/2023 03:08:58,12 104488
25/11/2023 03:09:04,22 99460
25/11/2023 03:09:10,19 93506
25/11/2023 03:09:16,17 92542
25/11/2023 03:09:22,16 102856
25/11/2023 03:09:28,16 100295
25/11/2023 03:09:34,14 100462
25/11/2023 03:09:40,14 100394
25/11/2023 03:09:46,16 100358
25/11/2023 03:09:52,16 97326
25/11/2023 03:09:58,13 97778
25/11/2023 03:10:04,14 95090
25/11/2023 03:10:10,16 100565
25/11/2023 03:10:16,20 98773
25/11/2023 03:10:22,20 98737
25/11/2023 03:10:28,18 98717
25/11/2023 03:10:34,19 98509
25/11/2023 03:10:40,12 116856
25/11/2023 03:10:46,17 117094
25/11/2023 03:10:52,19 96789
25/11/2023 03:10:58,13 96931
25/11/2023 03:11:04,22 97242
25/11/2023 03:11:10,16 92082
25/11/2023 03:11:16,21 94007
25/11/2023 03:11:22,18 93047
25/11/2023 03:11:28,22 94143
25/11/2023 03:11:34,19 94929
25/11/2023 03:11:40,19 95057
25/11/2023 03:11:46,17 95052
25/11/2023 03:11:52,20 101107
25/11/2023 03:11:58,20 98227
25/11/2023 03:12:04,21 98245
25/11/2023 03:12:10,14 95551
25/11/2023 03:12:16,13 99341
25/11/2023 03:12:22,14 97657
25/11/2023 03:12:28,19 97625
25/11/2023 03:12:34,16 97601
25/11/2023 03:12:40,12 97609
25/11/2023 03:12:46,19 108298
25/11/2023 03:12:52,18 108360
25/11/2023 03:12:58,21 103580
25/11/2023 03:13:04,16 103794
