Inicio: 25/11/2023 17:21:50,93 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: load-async.txt
25/11/2023 17:53:49,13 96371
25/11/2023 17:53:55,16 92628
25/11/2023 17:54:01,20 88914
25/11/2023 17:54:07,11 125208
25/11/2023 17:54:13,13 92292
25/11/2023 17:54:19,13 86277
25/11/2023 17:54:25,12 120617
25/11/2023 17:54:31,17 90248
25/11/2023 17:54:37,12 90845
25/11/2023 17:54:43,22 90782
25/11/2023 17:54:49,18 93159
25/11/2023 17:54:55,21 90830
25/11/2023 17:55:01,13 84426
25/11/2023 17:55:07,19 88806
25/11/2023 17:55:13,22 89925
25/11/2023 17:55:19,13 86050
25/11/2023 17:55:25,21 83833
25/11/2023 17:55:31,13 80942
25/11/2023 17:55:37,17 84674
25/11/2023 17:55:43,17 88467
25/11/2023 17:55:49,16 95088
25/11/2023 17:55:55,17 86697
25/11/2023 17:56:01,20 91300
25/11/2023 17:56:07,20 87626
25/11/2023 17:56:13,13 89696
25/11/2023 17:56:19,16 88139
25/11/2023 17:56:25,17 81522
25/11/2023 17:56:31,19 110380
25/11/2023 17:56:37,15 88744
25/11/2023 17:56:43,13 86741
25/11/2023 17:56:49,17 93660
25/11/2023 17:56:55,17 84719
25/11/2023 17:57:01,12 103849
25/11/2023 17:57:07,18 81692
25/11/2023 17:57:13,13 80155
25/11/2023 17:57:19,16 85471
25/11/2023 17:57:25,20 79239
25/11/2023 17:57:31,20 78482
25/11/2023 17:57:37,22 79463
25/11/2023 17:57:43,14 76774
25/11/2023 17:57:49,16 77977
25/11/2023 17:57:55,18 118592
25/11/2023 17:58:01,14 89546
25/11/2023 17:58:07,16 88969
25/11/2023 17:58:13,18 112527
25/11/2023 17:58:19,12 86200
25/11/2023 17:58:25,21 82350
25/11/2023 17:58:31,11 88751
25/11/2023 17:58:37,17 81986
25/11/2023 17:58:43,15 108821
25/11/2023 17:58:49,19 79852
25/11/2023 17:58:55,14 81930
25/11/2023 17:59:01,16 84389
25/11/2023 17:59:07,16 86632
25/11/2023 17:59:13,17 81925
25/11/2023 17:59:19,18 91083
25/11/2023 17:59:25,20 89175
25/11/2023 17:59:31,17 80909
25/11/2023 17:59:37,22 79091
25/11/2023 17:59:43,13 75717
25/11/2023 17:59:49,22 78111
25/11/2023 17:59:55,19 82312
25/11/2023 18:00:01,22 86295
25/11/2023 18:00:07,15 82224
25/11/2023 18:00:13,13 80683
25/11/2023 18:00:19,13 84727
25/11/2023 18:00:25,14 82937
25/11/2023 18:00:31,16 84483
25/11/2023 18:00:37,15 84985
25/11/2023 18:00:43,14 79783
25/11/2023 18:00:49,17 84873
25/11/2023 18:00:55,12 85993
25/11/2023 18:01:01,16 87481
25/11/2023 18:01:07,22 84675
25/11/2023 18:01:13,14 92792
25/11/2023 18:01:19,13 86199
25/11/2023 18:01:25,14 83252
25/11/2023 18:01:31,19 87780
25/11/2023 18:01:37,21 77713
25/11/2023 18:01:43,17 78195
25/11/2023 18:01:49,17 82922
25/11/2023 18:01:55,21 81660
25/11/2023 18:02:01,18 77050
25/11/2023 18:02:07,18 82875
25/11/2023 18:02:13,15 113042
25/11/2023 18:02:19,19 88655
25/11/2023 18:02:25,12 103967
25/11/2023 18:02:31,17 82909
25/11/2023 18:02:37,14 83128
25/11/2023 18:02:43,18 85065
25/11/2023 18:02:49,13 81124
25/11/2023 18:02:55,17 83104
25/11/2023 18:03:01,21 83073
25/11/2023 18:03:07,22 82325
25/11/2023 18:03:13,17 81177
25/11/2023 18:03:19,15 91400
25/11/2023 18:03:25,14 88668
25/11/2023 18:03:31,18 92972
25/11/2023 18:03:37,15 91358
25/11/2023 18:03:43,19 81191
25/11/2023 18:03:49,20 79820
25/11/2023 18:03:55,16 81235
25/11/2023 18:04:01,19 82112
25/11/2023 18:04:07,18 84894
25/11/2023 18:04:13,13 86819
25/11/2023 18:04:19,13 99740
25/11/2023 18:04:25,20 85458
25/11/2023 18:04:31,20 88349
25/11/2023 18:04:37,18 92045
25/11/2023 18:04:43,17 84743
25/11/2023 18:04:49,13 85435
25/11/2023 18:04:55,21 86612
25/11/2023 18:05:01,18 116248
25/11/2023 18:05:07,12 87480
25/11/2023 18:05:13,12 88587
25/11/2023 18:05:19,22 101581
25/11/2023 18:05:25,11 103834
25/11/2023 18:05:31,18 88543
25/11/2023 18:05:37,12 88288
25/11/2023 18:05:43,15 89348
25/11/2023 18:05:49,19 82327
25/11/2023 18:05:55,20 84880
25/11/2023 18:06:01,15 80494
25/11/2023 18:06:07,16 81635
25/11/2023 18:06:13,12 79617
25/11/2023 18:06:19,13 104314
25/11/2023 18:06:25,13 88708
25/11/2023 18:06:31,15 92073
25/11/2023 18:06:37,13 89645
25/11/2023 18:06:43,20 87826
25/11/2023 18:06:49,15 90366
25/11/2023 18:06:55,13 88939
25/11/2023 18:07:01,12 91497
25/11/2023 18:07:07,12 89604
25/11/2023 18:07:13,12 87467
25/11/2023 18:07:19,13 86920
25/11/2023 18:07:25,19 85507
25/11/2023 18:07:31,13 94077
25/11/2023 18:07:37,20 92639
25/11/2023 18:07:43,19 93769
25/11/2023 18:07:49,14 91053
25/11/2023 18:07:55,16 86637
25/11/2023 18:08:01,19 82252
25/11/2023 18:08:07,22 82447
25/11/2023 18:08:13,15 81053
25/11/2023 18:08:19,20 82657
25/11/2023 18:08:25,16 105895
25/11/2023 18:08:31,20 92752
25/11/2023 18:08:37,20 89400
25/11/2023 18:08:43,18 90987
25/11/2023 18:08:49,16 111226
25/11/2023 18:08:55,15 87839
25/11/2023 18:09:01,16 90262
25/11/2023 18:09:07,22 91472
25/11/2023 18:09:13,12 92457
25/11/2023 18:09:19,21 90760
25/11/2023 18:09:25,21 108188
25/11/2023 18:09:31,20 92846
25/11/2023 18:09:37,22 118171
25/11/2023 18:09:43,13 96007
25/11/2023 18:09:49,11 99368
25/11/2023 18:09:55,20 100358
25/11/2023 18:10:01,16 89281
25/11/2023 18:10:07,16 81463
25/11/2023 18:10:13,15 82559
25/11/2023 18:10:19,18 86053
25/11/2023 18:10:25,17 85989
25/11/2023 18:10:31,22 89528
25/11/2023 18:10:37,12 94698
25/11/2023 18:10:43,15 92122
25/11/2023 18:10:49,20 106289
25/11/2023 18:10:55,12 91950
25/11/2023 18:11:01,16 88767
25/11/2023 18:11:07,18 94239
25/11/2023 18:11:13,13 99748
25/11/2023 18:11:19,21 91106
25/11/2023 18:11:25,13 88260
25/11/2023 18:11:31,21 93158
25/11/2023 18:11:37,13 91152
25/11/2023 18:11:43,22 101098
25/11/2023 18:11:49,14 100621
25/11/2023 18:11:55,16 94976
25/11/2023 18:12:01,16 91888
25/11/2023 18:12:07,15 91528
25/11/2023 18:12:13,14 82834
25/11/2023 18:12:19,18 92918
25/11/2023 18:12:25,13 84103
25/11/2023 18:12:31,15 89522
25/11/2023 18:12:37,14 95844
25/11/2023 18:12:43,16 94486
25/11/2023 18:12:49,19 97108
25/11/2023 18:12:55,21 95765
25/11/2023 18:13:01,16 90380
25/11/2023 18:13:07,16 90496
25/11/2023 18:13:13,18 87633
25/11/2023 18:13:19,17 91195
25/11/2023 18:13:25,15 87630
25/11/2023 18:13:31,17 115572
25/11/2023 18:13:37,21 88876
25/11/2023 18:13:43,15 91626
25/11/2023 18:13:49,21 91790
25/11/2023 18:13:55,13 94702
25/11/2023 18:14:01,12 95396
25/11/2023 18:14:07,18 96913
25/11/2023 18:14:13,12 90570
25/11/2023 18:14:19,14 88326
25/11/2023 18:14:25,12 87973
25/11/2023 18:14:31,18 92552
25/11/2023 18:14:37,15 92562
25/11/2023 18:14:43,18 95387
25/11/2023 18:14:49,15 126406
25/11/2023 18:14:55,13 110124
25/11/2023 18:15:01,19 95811
25/11/2023 18:15:07,12 96758
25/11/2023 18:15:13,18 88902
25/11/2023 18:15:19,20 90145
25/11/2023 18:15:25,21 93140
25/11/2023 18:15:32,20 88688
25/11/2023 18:15:38,14 92545
25/11/2023 18:15:44,13 90905
25/11/2023 18:15:50,13 94610
25/11/2023 18:15:56,17 94837
25/11/2023 18:16:02,19 99225
25/11/2023 18:16:08,12 93352
25/11/2023 18:16:14,18 95543
25/11/2023 18:16:20,12 92685
25/11/2023 18:16:26,21 86538
25/11/2023 18:16:32,19 96269
25/11/2023 18:16:38,13 90191
25/11/2023 18:16:44,12 86669
25/11/2023 18:16:50,12 100503
25/11/2023 18:16:56,19 96025
25/11/2023 18:17:02,23 96311
25/11/2023 18:17:08,12 93416
25/11/2023 18:17:14,21 91775
25/11/2023 18:17:20,13 93934
25/11/2023 18:17:26,17 96855
25/11/2023 18:17:32,19 91977
25/11/2023 18:17:38,18 121676
25/11/2023 18:17:44,21 92826
25/11/2023 18:17:50,15 93513
25/11/2023 18:17:56,21 105696
25/11/2023 18:18:02,13 113799
25/11/2023 18:18:08,21 100740
25/11/2023 18:18:14,14 99345
25/11/2023 18:18:20,18 101103
25/11/2023 18:18:26,12 95996
25/11/2023 18:18:32,20 88506
25/11/2023 18:18:38,16 94330
25/11/2023 18:18:44,13 90773
25/11/2023 18:18:50,19 91819
25/11/2023 18:18:56,13 100708
25/11/2023 18:19:02,11 99561
25/11/2023 18:19:08,14 94850
25/11/2023 18:19:14,17 102850
25/11/2023 18:19:20,17 118395
25/11/2023 18:19:26,15 93778
25/11/2023 18:19:32,12 123420
25/11/2023 18:19:38,12 92464
25/11/2023 18:19:44,20 98444
25/11/2023 18:19:50,16 119753
25/11/2023 18:19:56,13 91999
25/11/2023 18:20:02,13 104320
25/11/2023 18:20:08,16 101569
25/11/2023 18:20:14,18 104954
25/11/2023 18:20:20,17 102010
25/11/2023 18:20:26,14 105223
25/11/2023 18:20:32,18 90478
25/11/2023 18:20:38,13 89847
25/11/2023 18:20:44,20 89903
25/11/2023 18:20:50,15 88995
25/11/2023 18:20:56,22 94776
25/11/2023 18:21:03,12 95431
25/11/2023 18:21:09,19 118352
25/11/2023 18:21:15,13 97427
25/11/2023 18:21:21,22 98376
25/11/2023 18:21:27,14 93916
25/11/2023 18:21:33,11 95262
25/11/2023 18:21:39,16 98496
25/11/2023 18:21:45,21 100586
25/11/2023 18:21:51,12 96495
25/11/2023 18:21:57,15 102204
25/11/2023 18:22:03,22 124666
25/11/2023 18:22:09,20 95600
25/11/2023 18:22:15,21 97255
25/11/2023 18:22:22,22 104054
25/11/2023 18:22:28,13 102300
25/11/2023 18:22:34,21 86753
25/11/2023 18:22:40,21 90955
25/11/2023 18:22:46,19 95856
25/11/2023 18:22:52,17 90876
25/11/2023 18:22:58,13 96873
25/11/2023 18:23:04,13 123492
25/11/2023 18:23:10,16 103197
25/11/2023 18:23:16,18 99965
25/11/2023 18:23:22,18 101174
25/11/2023 18:23:28,14 101251
25/11/2023 18:23:34,21 101116
25/11/2023 18:23:40,14 91118
25/11/2023 18:23:46,18 100535
25/11/2023 18:23:52,19 100490
25/11/2023 18:23:58,21 101110
25/11/2023 18:24:04,19 98723
25/11/2023 18:24:10,18 118699
25/11/2023 18:24:16,15 104568
25/11/2023 18:24:22,21 94830
25/11/2023 18:24:28,22 97909
25/11/2023 18:24:34,14 105836
25/11/2023 18:24:40,20 90549
25/11/2023 18:24:46,12 92668
25/11/2023 18:24:52,19 91818
25/11/2023 18:24:58,21 98742
25/11/2023 18:25:04,21 97463
25/11/2023 18:25:10,20 102943
25/11/2023 18:25:16,22 105528
25/11/2023 18:25:22,15 94577
25/11/2023 18:25:28,16 96799
25/11/2023 18:25:34,16 98671
25/11/2023 18:25:40,21 98196
25/11/2023 18:25:47,17 102721
25/11/2023 18:25:53,16 101784
25/11/2023 18:25:59,20 99424
25/11/2023 18:26:05,15 95704
25/11/2023 18:26:11,20 118313
25/11/2023 18:26:17,20 101356
25/11/2023 18:26:23,16 137487
25/11/2023 18:26:29,13 99403
25/11/2023 18:26:36,23 98097
25/11/2023 18:26:43,13 99890
25/11/2023 18:26:49,22 91986
25/11/2023 18:26:56,13 91241
25/11/2023 18:27:02,22 94956
25/11/2023 18:27:08,17 98454
