Inicio: 24/11/2023 23:57:16,41 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: keypropflag.txt
25/11/2023 00:27:13,22 107974
25/11/2023 00:27:19,15 127548
25/11/2023 00:27:25,22 122334
25/11/2023 00:27:31,20 120536
25/11/2023 00:27:37,12 119740
25/11/2023 00:27:42,14 122356
25/11/2023 00:27:48,12 116633
25/11/2023 00:27:54,21 125102
25/11/2023 00:28:00,16 125038
25/11/2023 00:28:06,12 128191
25/11/2023 00:28:12,21 125206
25/11/2023 00:28:18,14 125157
25/11/2023 00:28:24,20 124586
25/11/2023 00:28:30,17 124755
25/11/2023 00:28:36,13 123049
25/11/2023 00:28:42,20 123087
25/11/2023 00:28:48,22 123049
25/11/2023 00:28:54,15 123021
25/11/2023 00:29:00,17 133652
25/11/2023 00:29:06,14 134222
25/11/2023 00:29:12,17 106773
25/11/2023 00:29:18,21 107141
25/11/2023 00:29:24,20 128380
25/11/2023 00:29:30,16 123145
25/11/2023 00:29:36,20 121617
25/11/2023 00:29:42,21 120929
25/11/2023 00:29:48,16 123451
25/11/2023 00:29:54,21 121221
25/11/2023 00:30:00,16 126334
25/11/2023 00:30:06,11 126347
25/11/2023 00:30:12,12 129491
25/11/2023 00:30:18,22 126525
25/11/2023 00:30:24,13 126378
25/11/2023 00:30:30,16 125548
25/11/2023 00:30:36,21 125812
25/11/2023 00:30:42,16 123899
25/11/2023 00:30:48,12 123568
25/11/2023 00:30:54,20 123211
25/11/2023 00:31:00,14 123195
25/11/2023 00:31:06,21 133454
25/11/2023 00:31:12,21 134071
25/11/2023 00:31:18,16 106397
25/11/2023 00:31:24,21 106533
25/11/2023 00:31:30,13 127863
25/11/2023 00:31:36,16 122705
25/11/2023 00:31:42,22 122915
25/11/2023 00:31:48,22 122256
25/11/2023 00:31:54,15 123058
25/11/2023 00:32:00,21 119766
25/11/2023 00:32:06,13 124039
25/11/2023 00:32:12,20 124063
25/11/2023 00:32:18,12 126941
25/11/2023 00:32:24,20 124037
25/11/2023 00:32:30,19 123984
25/11/2023 00:32:36,19 125036
25/11/2023 00:32:42,14 125786
25/11/2023 00:32:48,15 124181
25/11/2023 00:32:54,18 124384
25/11/2023 00:33:00,12 124380
25/11/2023 00:33:06,17 124437
25/11/2023 00:33:12,17 135254
25/11/2023 00:33:18,15 135670
25/11/2023 00:33:24,14 107885
25/11/2023 00:33:30,21 107949
25/11/2023 00:33:36,16 127665
25/11/2023 00:33:42,19 122554
25/11/2023 00:33:48,13 122680
25/11/2023 00:33:54,20 122087
25/11/2023 00:34:00,20 124563
25/11/2023 00:34:06,16 118682
25/11/2023 00:34:12,14 127334
25/11/2023 00:34:18,13 127331
25/11/2023 00:34:24,20 130372
25/11/2023 00:34:30,20 127392
25/11/2023 00:34:36,15 127362
25/11/2023 00:34:42,15 127331
25/11/2023 00:34:48,20 127387
25/11/2023 00:34:54,16 125723
25/11/2023 00:35:00,22 125613
25/11/2023 00:35:06,19 125629
25/11/2023 00:35:12,17 125609
25/11/2023 00:35:18,14 135956
25/11/2023 00:35:24,19 136498
25/11/2023 00:35:30,17 110771
25/11/2023 00:35:36,22 111267
25/11/2023 00:35:42,17 131013
25/11/2023 00:35:48,11 126017
25/11/2023 00:35:53,17 125946
25/11/2023 00:35:59,22 125638
25/11/2023 00:36:05,39 124289
25/11/2023 00:36:12,21 126881
25/11/2023 00:36:18,21 127080
25/11/2023 00:36:24,16 127112
25/11/2023 00:36:30,14 130299
25/11/2023 00:36:36,19 127331
25/11/2023 00:36:42,17 127286
25/11/2023 00:36:48,17 131171
25/11/2023 00:36:54,11 130924
25/11/2023 00:37:00,20 129297
25/11/2023 00:37:06,13 129298
25/11/2023 00:37:12,18 129243
25/11/2023 00:37:18,11 129179
25/11/2023 00:37:24,11 137627
25/11/2023 00:37:30,20 138131
25/11/2023 00:37:36,14 112000
25/11/2023 00:37:42,21 112381
25/11/2023 00:37:48,15 132090
25/11/2023 00:37:54,20 127063
25/11/2023 00:38:00,14 127193
25/11/2023 00:38:06,18 126753
25/11/2023 00:38:12,17 125819
25/11/2023 00:38:18,12 125151
25/11/2023 00:38:24,14 129091
25/11/2023 00:38:30,20 128775
25/11/2023 00:38:36,12 131704
25/11/2023 00:38:42,12 128728
25/11/2023 00:38:48,14 128673
25/11/2023 00:38:54,14 130542
25/11/2023 00:39:00,14 130111
25/11/2023 00:39:06,20 128507
25/11/2023 00:39:12,15 128267
25/11/2023 00:39:18,17 128131
25/11/2023 00:39:24,21 128076
25/11/2023 00:39:30,14 138558
25/11/2023 00:39:36,13 139141
25/11/2023 00:39:42,17 113407
