Inicio: 25/11/2023 11:58:48,83 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: unload-async-await.txt
25/11/2023 12:25:05,19 117374
25/11/2023 12:25:11,21 117077
25/11/2023 12:25:17,12 117035
25/11/2023 12:25:22,14 119925
25/11/2023 12:25:28,17 116801
25/11/2023 12:25:34,21 116805
25/11/2023 12:25:40,13 118434
25/11/2023 12:25:46,17 118006
25/11/2023 12:25:52,20 116270
25/11/2023 12:25:58,21 116250
25/11/2023 12:26:04,21 116247
25/11/2023 12:26:10,14 116230
25/11/2023 12:26:16,21 125355
25/11/2023 12:26:22,18 125757
25/11/2023 12:26:28,17 99040
25/11/2023 12:26:34,20 99644
25/11/2023 12:26:40,22 99671
25/11/2023 12:26:46,22 117776
25/11/2023 12:26:52,12 112958
25/11/2023 12:26:57,15 112421
25/11/2023 12:27:02,17 112518
25/11/2023 12:27:08,16 112434
25/11/2023 12:27:14,11 115596
25/11/2023 12:27:19,15 115352
25/11/2023 12:27:25,20 115504
25/11/2023 12:27:31,21 118557
25/11/2023 12:27:37,12 115469
25/11/2023 12:27:43,12 117374
25/11/2023 12:27:49,16 114576
25/11/2023 12:27:55,18 116934
25/11/2023 12:28:01,22 115425
25/11/2023 12:28:07,15 115392
25/11/2023 12:28:13,13 115383
25/11/2023 12:28:19,19 115875
25/11/2023 12:28:25,20 126660
25/11/2023 12:28:31,12 126998
25/11/2023 12:28:37,19 101001
25/11/2023 12:28:43,22 101180
25/11/2023 12:28:49,15 119321
25/11/2023 12:28:55,19 114207
25/11/2023 12:29:01,18 114499
25/11/2023 12:29:07,16 79523
25/11/2023 12:29:13,18 114257
25/11/2023 12:29:19,16 117152
25/11/2023 12:29:25,19 117222
25/11/2023 12:29:31,14 117109
25/11/2023 12:29:37,20 120069
25/11/2023 12:29:43,21 117017
25/11/2023 12:29:49,16 118992
25/11/2023 12:29:55,17 116238
25/11/2023 12:30:01,20 118657
25/11/2023 12:30:07,21 116894
25/11/2023 12:30:13,17 116890
25/11/2023 12:30:19,18 116876
25/11/2023 12:30:25,21 116898
25/11/2023 12:30:31,15 127537
25/11/2023 12:30:37,21 127876
25/11/2023 12:30:43,14 101761
25/11/2023 12:30:49,19 101939
25/11/2023 12:30:55,12 120037
25/11/2023 12:31:00,16 114808
25/11/2023 12:31:06,19 115227
25/11/2023 12:31:12,13 114479
25/11/2023 12:31:17,15 115323
25/11/2023 12:31:23,17 114421
25/11/2023 12:31:29,22 118107
25/11/2023 12:31:35,11 117687
25/11/2023 12:31:41,22 120679
25/11/2023 12:31:47,21 117608
25/11/2023 12:31:53,12 117594
25/11/2023 12:31:58,13 119578
25/11/2023 12:32:04,13 119220
25/11/2023 12:32:10,16 117469
25/11/2023 12:32:16,19 117478
25/11/2023 12:32:22,19 117500
25/11/2023 12:32:28,14 117450
25/11/2023 12:32:34,15 121767
25/11/2023 12:32:40,22 128439
25/11/2023 12:32:46,13 101877
25/11/2023 12:32:52,18 102681
25/11/2023 12:32:58,22 102713
25/11/2023 12:33:04,12 120857
25/11/2023 12:33:10,20 115910
25/11/2023 12:33:16,21 115450
25/11/2023 12:33:22,22 115755
25/11/2023 12:33:28,22 115052
25/11/2023 12:33:34,21 118819
25/11/2023 12:33:40,17 118404
25/11/2023 12:33:46,16 121089
25/11/2023 12:33:52,16 118067
25/11/2023 12:33:58,19 118059
25/11/2023 12:34:04,12 119747
25/11/2023 12:34:09,16 116814
25/11/2023 12:34:15,18 119305
25/11/2023 12:34:21,17 117483
25/11/2023 12:34:27,18 117453
25/11/2023 12:34:33,12 117461
25/11/2023 12:34:38,14 117326
25/11/2023 12:34:44,20 128282
25/11/2023 12:34:50,13 106929
25/11/2023 12:34:56,18 102467
25/11/2023 12:35:02,21 102594
25/11/2023 12:35:08,22 120732
25/11/2023 12:35:14,19 115464
25/11/2023 12:35:20,17 115964
25/11/2023 12:35:26,22 115445
