Inicio: 25/11/2023 19:09:30,80 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: video-error-key.txt
25/11/2023 19:52:25,12 111075
25/11/2023 19:52:31,19 111208
25/11/2023 19:52:37,19 110663
25/11/2023 19:52:43,21 110503
25/11/2023 19:52:49,22 113691
25/11/2023 19:52:55,14 113379
25/11/2023 19:53:01,13 83557
25/11/2023 19:53:07,12 112968
25/11/2023 19:53:13,21 112893
25/11/2023 19:53:19,13 114761
25/11/2023 19:53:24,15 111855
25/11/2023 19:53:30,18 114331
25/11/2023 19:53:36,21 112516
25/11/2023 19:53:42,14 112485
25/11/2023 19:53:48,21 112487
25/11/2023 19:53:54,16 112482
25/11/2023 19:54:00,19 123125
25/11/2023 19:54:06,13 123316
25/11/2023 19:54:12,19 97277
25/11/2023 19:54:18,22 97490
25/11/2023 19:54:24,14 115576
25/11/2023 19:54:30,19 110437
25/11/2023 19:54:36,20 110675
25/11/2023 19:54:42,12 80432
25/11/2023 19:54:48,12 110138
25/11/2023 19:54:54,14 113014
25/11/2023 19:55:00,18 113069
25/11/2023 19:55:06,21 113077
25/11/2023 19:55:12,20 115986
25/11/2023 19:55:18,12 112894
25/11/2023 19:55:24,15 114495
25/11/2023 19:55:30,20 111627
25/11/2023 19:55:36,20 114273
25/11/2023 19:55:42,18 112493
25/11/2023 19:55:48,14 112476
25/11/2023 19:55:54,19 112499
25/11/2023 19:56:00,20 112752
25/11/2023 19:56:06,22 123435
25/11/2023 19:56:12,15 123756
25/11/2023 19:56:18,20 97709
25/11/2023 19:56:24,20 97917
25/11/2023 19:56:30,22 116033
25/11/2023 19:56:36,11 110901
25/11/2023 19:56:42,16 110915
25/11/2023 19:56:48,19 80678
25/11/2023 19:56:54,12 110578
25/11/2023 19:56:59,15 113270
25/11/2023 19:57:05,20 113408
25/11/2023 19:57:11,20 113434
25/11/2023 19:57:17,19 116291
25/11/2023 19:57:23,15 113185
25/11/2023 19:57:29,17 115284
25/11/2023 19:57:35,19 112275
25/11/2023 19:57:41,18 114590
25/11/2023 19:57:47,21 112858
25/11/2023 19:57:53,14 112836
25/11/2023 19:57:59,21 112843
25/11/2023 19:58:05,13 112843
25/11/2023 19:58:10,16 122966
25/11/2023 19:58:16,19 123616
25/11/2023 19:58:22,17 97395
25/11/2023 19:58:28,20 97807
25/11/2023 19:58:34,14 115797
25/11/2023 19:58:40,18 110756
25/11/2023 19:58:46,20 110964
25/11/2023 19:58:52,15 110350
25/11/2023 19:58:58,13 111000
25/11/2023 19:59:03,17 110096
25/11/2023 19:59:09,20 113952
25/11/2023 19:59:15,19 113474
25/11/2023 19:59:21,13 116369
25/11/2023 19:59:27,17 113328
25/11/2023 19:59:33,20 113316
25/11/2023 19:59:39,22 114781
25/11/2023 19:59:45,16 114310
25/11/2023 19:59:51,22 112534
25/11/2023 19:59:57,12 112528
25/11/2023 20:00:02,16 112364
25/11/2023 20:00:08,17 112550
25/11/2023 20:00:14,21 112798
25/11/2023 20:00:20,14 123765
25/11/2023 20:00:26,21 96927
25/11/2023 20:00:32,12 97845
25/11/2023 20:00:38,16 97923
25/11/2023 20:00:44,14 116018
