Inicio: 26/11/2023 16:15:09,49 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue-2.txt
26/11/2023 17:04:31,22 132488
26/11/2023 17:04:42,20 101807
26/11/2023 17:04:53,15 119934
26/11/2023 17:05:04,23 114976
26/11/2023 17:05:15,18 114683
26/11/2023 17:05:26,16 118692
26/11/2023 17:05:37,18 117391
26/11/2023 17:05:48,20 118601
26/11/2023 17:05:59,18 116155
26/11/2023 17:06:10,16 116895
26/11/2023 17:06:21,15 118067
26/11/2023 17:06:32,22 127299
26/11/2023 17:06:43,13 101584
26/11/2023 17:06:54,13 103152
26/11/2023 17:07:05,15 121119
26/11/2023 17:07:16,19 115729
26/11/2023 17:07:27,15 116940
26/11/2023 17:07:38,20 118269
26/11/2023 17:07:49,19 117855
26/11/2023 17:08:00,20 116098
26/11/2023 17:08:11,16 116911
26/11/2023 17:08:22,14 118023
26/11/2023 17:08:33,17 117357
26/11/2023 17:08:44,14 127948
26/11/2023 17:08:55,15 102111
26/11/2023 17:09:06,19 113826
26/11/2023 17:09:17,13 115604
26/11/2023 17:09:28,20 115108
26/11/2023 17:09:39,15 116666
26/11/2023 17:09:50,22 116807
26/11/2023 17:10:01,19 117823
26/11/2023 17:10:12,17 115623
26/11/2023 17:10:23,18 116638
26/11/2023 17:10:34,14 117782
26/11/2023 17:10:45,15 127415
26/11/2023 17:10:56,17 101500
26/11/2023 17:11:07,13 102842
26/11/2023 17:11:18,21 120667
26/11/2023 17:11:29,15 116009
26/11/2023 17:11:40,15 118720
26/11/2023 17:11:51,17 118464
26/11/2023 17:12:02,14 117539
26/11/2023 17:12:13,14 115871
26/11/2023 17:12:24,21 116654
26/11/2023 17:12:35,20 117882
26/11/2023 17:12:46,22 117911
26/11/2023 17:12:57,20 129278
26/11/2023 17:13:08,16 103210
26/11/2023 17:13:19,21 119694
26/11/2023 17:13:30,18 116408
26/11/2023 17:13:41,15 116028
26/11/2023 17:13:52,14 130570
26/11/2023 17:14:03,12 129948
26/11/2023 17:14:14,22 130776
26/11/2023 17:14:25,21 130885
26/11/2023 17:14:36,22 130319
26/11/2023 17:14:47,21 130283
26/11/2023 17:14:58,22 140160
26/11/2023 17:15:09,14 114182
26/11/2023 17:15:20,22 133452
26/11/2023 17:15:31,22 128345
26/11/2023 17:15:42,21 128157
26/11/2023 17:15:53,21 130925
26/11/2023 17:16:04,12 131049
26/11/2023 17:16:15,16 130076
26/11/2023 17:16:26,15 128649
26/11/2023 17:16:37,13 129339
26/11/2023 17:16:48,21 130529
26/11/2023 17:16:59,21 130513
26/11/2023 17:17:10,22 141129
26/11/2023 17:17:21,12 114930
26/11/2023 17:17:32,12 129318
26/11/2023 17:17:43,20 127874
26/11/2023 17:17:54,16 127698
26/11/2023 17:18:05,11 129588
26/11/2023 17:18:16,12 129589
