Inicio: 26/11/2023 13:00:20,53 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue.txt
26/11/2023 13:42:34,14 118438
26/11/2023 13:42:45,12 119706
26/11/2023 13:42:56,22 119730
26/11/2023 13:43:07,18 130106
26/11/2023 13:43:18,17 104285
26/11/2023 13:43:29,20 123192
26/11/2023 13:43:40,19 117958
26/11/2023 13:43:51,13 117602
26/11/2023 13:44:02,15 120381
26/11/2023 13:44:13,17 119113
26/11/2023 13:44:24,16 120322
26/11/2023 13:44:35,22 118141
26/11/2023 13:44:46,20 118817
26/11/2023 13:44:57,21 119926
26/11/2023 13:45:08,17 129870
26/11/2023 13:45:19,19 103723
26/11/2023 13:45:30,12 105191
26/11/2023 13:45:40,19 123211
26/11/2023 13:45:51,17 117893
26/11/2023 13:46:02,12 82451
26/11/2023 13:46:13,15 120983
26/11/2023 13:46:24,16 119526
26/11/2023 13:46:35,21 118082
26/11/2023 13:46:46,15 119021
26/11/2023 13:46:57,17 120279
26/11/2023 13:47:08,11 120263
26/11/2023 13:47:19,17 130600
26/11/2023 13:47:30,13 104537
26/11/2023 13:47:40,21 122952
26/11/2023 13:47:51,17 118146
26/11/2023 13:48:02,21 117694
26/11/2023 13:48:13,22 120475
26/11/2023 13:48:24,17 119370
26/11/2023 13:48:35,13 120632
26/11/2023 13:48:46,21 118416
26/11/2023 13:48:57,18 119045
26/11/2023 13:49:08,12 120221
26/11/2023 13:49:19,16 129282
26/11/2023 13:49:30,22 103070
26/11/2023 13:49:41,17 104593
26/11/2023 13:49:52,17 122730
26/11/2023 13:50:03,15 117261
26/11/2023 13:50:14,13 120886
26/11/2023 13:50:25,16 120287
26/11/2023 13:50:36,22 119250
26/11/2023 13:50:47,14 117664
26/11/2023 13:50:58,20 118487
26/11/2023 13:51:09,20 119651
26/11/2023 13:51:20,22 119626
26/11/2023 13:51:31,16 130147
26/11/2023 13:51:42,14 104311
26/11/2023 13:51:53,17 123080
26/11/2023 13:52:04,16 117928
26/11/2023 13:52:15,21 116881
26/11/2023 13:52:26,15 118118
26/11/2023 13:52:37,19 118299
26/11/2023 13:52:48,18 119356
26/11/2023 13:52:59,13 117115
26/11/2023 13:53:10,17 117721
26/11/2023 13:53:21,16 118821
26/11/2023 13:53:32,15 128542
26/11/2023 13:53:43,16 102521
26/11/2023 13:53:54,22 103863
26/11/2023 13:54:05,22 121707
26/11/2023 13:54:16,12 117061
26/11/2023 13:54:27,21 118056
26/11/2023 13:54:38,18 119416
26/11/2023 13:54:49,21 118249
26/11/2023 13:55:00,15 116817
26/11/2023 13:55:11,23 117646
