Inicio: 28/11/2023 14:13:49,28 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: teste-media-error.txt
28/11/2023 15:01:59,15 228550
28/11/2023 15:02:10,13 169385
28/11/2023 15:02:21,18 153564
28/11/2023 15:02:32,16 167615
28/11/2023 15:02:43,16 130892
28/11/2023 15:02:54,17 171707
28/11/2023 15:03:05,13 168955
28/11/2023 15:03:16,16 135545
28/11/2023 15:03:27,18 128670
28/11/2023 15:03:38,22 183335
28/11/2023 15:03:49,20 182811
28/11/2023 15:04:00,15 178448
28/11/2023 15:04:11,12 175806
28/11/2023 15:04:22,16 175512
28/11/2023 15:04:33,21 176008
28/11/2023 15:04:44,11 174762
28/11/2023 15:04:55,13 166498
28/11/2023 15:05:06,17 166199
28/11/2023 15:05:17,18 165937
28/11/2023 15:05:28,20 165829
28/11/2023 15:05:39,16 165816
28/11/2023 15:05:50,15 165839
28/11/2023 15:06:01,17 164476
28/11/2023 15:06:12,16 163958
28/11/2023 15:06:23,15 163882
28/11/2023 15:06:34,18 163270
28/11/2023 15:06:45,17 163200
28/11/2023 15:06:56,13 164247
28/11/2023 15:07:07,13 165631
28/11/2023 15:07:18,16 165449
28/11/2023 15:07:29,14 165378
28/11/2023 15:07:40,19 165516
28/11/2023 15:07:51,17 141867
28/11/2023 15:08:02,16 182214
28/11/2023 15:08:13,19 228936
28/11/2023 15:08:24,16 222836
28/11/2023 15:08:35,20 219896
28/11/2023 15:08:46,17 168493
28/11/2023 15:08:57,21 154369
28/11/2023 15:09:08,12 179423
28/11/2023 15:09:19,21 133978
28/11/2023 15:09:30,12 174692
28/11/2023 15:09:41,22 174566
28/11/2023 15:09:52,21 176482
28/11/2023 15:10:03,17 141646
28/11/2023 15:10:14,20 191789
28/11/2023 15:10:25,22 192938
28/11/2023 15:10:36,18 193247
28/11/2023 15:10:47,19 188959
28/11/2023 15:10:58,13 186987
28/11/2023 15:11:09,21 187228
28/11/2023 15:11:20,12 187080
28/11/2023 15:11:31,22 176860
28/11/2023 15:11:42,12 176816
28/11/2023 15:11:53,21 175497
28/11/2023 15:12:04,21 174491
28/11/2023 15:12:15,16 168860
28/11/2023 15:12:26,21 166300
28/11/2023 15:12:37,21 166271
28/11/2023 15:12:48,19 166487
28/11/2023 15:12:59,20 166342
28/11/2023 15:13:10,14 166032
28/11/2023 15:13:21,21 162902
28/11/2023 15:13:32,16 164908
28/11/2023 15:13:43,14 165547
28/11/2023 15:13:54,11 164948
28/11/2023 15:14:05,18 165124
28/11/2023 15:14:16,20 164749
28/11/2023 15:14:27,19 144953
28/11/2023 15:14:38,18 185737
28/11/2023 15:14:49,18 185288
28/11/2023 15:15:00,11 232477
28/11/2023 15:15:11,20 232797
28/11/2023 15:15:22,11 171470
28/11/2023 15:15:33,21 149212
28/11/2023 15:15:44,22 170895
28/11/2023 15:15:55,18 123829
28/11/2023 15:16:06,21 163141
28/11/2023 15:16:17,12 162677
28/11/2023 15:16:28,12 164520
28/11/2023 15:16:39,21 134704
28/11/2023 15:16:50,13 184288
28/11/2023 15:17:01,21 185060
28/11/2023 15:17:12,13 184617
28/11/2023 15:17:23,14 179687
28/11/2023 15:17:34,17 177168
28/11/2023 15:17:45,13 176313
28/11/2023 15:17:56,17 176645
28/11/2023 15:18:07,11 168364
28/11/2023 15:18:18,15 168307
28/11/2023 15:18:29,20 168180
28/11/2023 15:18:40,15 167285
28/11/2023 15:18:51,13 166823
28/11/2023 15:19:02,17 165931
28/11/2023 15:19:13,21 165367
28/11/2023 15:19:24,21 165121
28/11/2023 15:19:35,13 165045
28/11/2023 15:19:46,12 165013
28/11/2023 15:19:57,13 164696
28/11/2023 15:20:08,18 166245
28/11/2023 15:20:19,20 167848
28/11/2023 15:20:30,15 167170
28/11/2023 15:20:41,11 167277
28/11/2023 15:20:52,11 166501
28/11/2023 15:21:03,16 142922
28/11/2023 15:21:14,15 122155
28/11/2023 15:21:24,15 179877
28/11/2023 15:21:35,22 228116
28/11/2023 15:21:46,21 228705
28/11/2023 15:21:57,18 213346
28/11/2023 15:22:08,20 166234
28/11/2023 15:22:19,16 151816
28/11/2023 15:22:30,18 163708
28/11/2023 15:22:41,14 127918
28/11/2023 15:22:52,17 171221
28/11/2023 15:23:03,14 170032
28/11/2023 15:23:14,19 141125
28/11/2023 15:23:25,12 135045
28/11/2023 15:23:36,15 188819
28/11/2023 15:23:47,12 189093
28/11/2023 15:23:58,14 184724
28/11/2023 15:24:09,21 182673
28/11/2023 15:24:20,20 182005
28/11/2023 15:24:31,15 182352
28/11/2023 15:24:42,21 182248
28/11/2023 15:24:53,13 174023
28/11/2023 15:25:04,20 174097
28/11/2023 15:25:15,20 174063
28/11/2023 15:25:26,18 172514
28/11/2023 15:25:37,19 172301
28/11/2023 15:25:48,19 172245
28/11/2023 15:25:59,19 167070
28/11/2023 15:26:10,18 167114
28/11/2023 15:26:21,17 167508
28/11/2023 15:26:32,19 167529
28/11/2023 15:26:43,17 167471
28/11/2023 15:26:54,18 170711
28/11/2023 15:27:05,14 169946
28/11/2023 15:27:16,18 170294
28/11/2023 15:27:27,21 169573
28/11/2023 15:27:38,13 169359
28/11/2023 15:27:49,21 145362
28/11/2023 15:28:00,15 178823
28/11/2023 15:28:11,20 220115
28/11/2023 15:28:22,19 221911
28/11/2023 15:28:33,21 221250
28/11/2023 15:28:44,15 164203
